player,bowler_score,first_inning_score,second_inning_score,home_match_score,away_match_score,strong_opponent_score,weak_opponent_score,current_year_score,last_five_year_score
Deepak_Chahar,4#15#27.66#6.01#27.6#0#0#3,1#10#20.70#6.08#20.4#0#0#3,3#5#41.60#5.94#42.0#0#0#2,3#3#44.33#5.32#50.0#0#0#2,1#11#22.27#6.12#21.8#0#0#3,0#2#26.50#6.62#24.0#0#0#2,0#5#20.40#6.00#20.4#0#0#3,1#9#21.77#5.93#22.0#0#0#3,1#4#22.50#6.00#22.5#0#0#2
Prasidh_Krishna,7#25#23.92#5.32#26.9#2#0#4,1#11#26.63#5.23#30.5#0#0#3,6#14#21.78#5.41#24.1#2#0#4,5#15#16.13#4.62#20.9#2#0#4,2#10#35.60#5.93#36.0#0#0#3,0#3#19.66#6.00#19.6#0#0#3,1#4#19.50#5.50#21.2#0#0#3,6#19#22.31#4.86#27.5#1#0#4,1#6#29.00#6.91#25.1#1#0#4
Deepak_Hooda,1#3#39.66#4.76#50.0#0#0#1,0#2#24.00#4.36#33.0#0#0#1,1#1#71.00#5.07#84.0#0#0#1,0#1#24.00#6.00#24.0#0#0#1,1#2#47.50#4.52#63.0#0#0#1,1#2#52.00#4.72#66.0#0#0#1,0#1#15.00#5.00#18.0#0#0#1,1#3#39.66#4.76#50.0#0#0#1,0#0#0#0#0#0#0#0
Ravichandran_Ashwin,36#151#33.49#4.94#40.6#1#0#4,20#85#37.00#5.04#44.0#1#0#4,16#66#28.98#4.78#36.3#0#0#3,8#65#30.87#5.07#36.5#0#0#3,14#42#44.64#5.05#53.0#0#0#3,0#16#49.06#5.77#51.0#0#0#2,0#1#75.00#7.50#60.0#0#0#1,1#1#121.00#6.05#120.0#0#0#1,9#21#24.57#4.27#34.4#1#0#4
Avesh_Khan,1#3#40.00#7.74#31.0#0#0#3,0#0#0#9.00#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,0#0#0#0#0#0#0#0,1#3#40.00#7.74#31.0#0#0#3,0#0#9.00#0#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,1#3#40.00#7.74#31.0#0#0#3,0#0#0#0#0#0#0#0
Jasprit_Bumrah,43#121#24.30#4.63#31.4#5#2#6,33#84#21.75#4.50#29.0#4#2#6,10#37#30.10#4.87#37.0#1#0#4,14#40#30.30#4.93#36.8#1#0#4,16#52#20.46#4.47#27.4#3#2#6,7#22#37.36#5.28#42.4#0#0#3,3#9#8.55#2.98#17.2#2#0#4,4#13#15.76#4.33#21.8#0#1#6,9#22#16.63#3.62#27.5#1#0#4
Yuzvendra_Chahal,14#118#26.39#5.22#30.2#5#2#6,12#73#26.39#5.11#30.9#3#2#6,2#45#26.40#5.42#29.1#2#0#4,6#27#27.62#5.29#31.2#1#0#4,7#73#24.90#5.23#28.5#3#2#6,1#16#32.25#6.29#30.7#0#1#6,3#6#12.83#3.20#24.0#0#0#3,0#21#23.90#5.35#26.7#3#0#4,0#29#28.10#5.73#29.3#1#1#6
Ravindra_Jadeja,50#189#37.36#4.92#45.5#7#1#5,30#108#40.31#4.83#50.0#5#1#5,20#81#33.43#5.06#39.6#2#0#4,21#89#31.02#4.89#38.0#3#0#4,17#47#54.44#5.02#64.9#1#0#4,4#28#60.00#5.34#67.3#0#0#3,7#8#40.12#4.22#57.0#0#0#2,0#1#38.00#4.22#54.0#0#0#1,3#14#24.57#4.59#32.0#2#0#4
Kuldeep_Yadav,14#112#28.63#5.20#33.0#4#1#6,6#55#29.32#4.94#35.5#1#1#6,8#57#27.96#5.49#30.5#3#0#4,3#38#35.42#6.00#35.4#0#0#3,7#59#23.03#4.91#28.1#4#1#6,2#23#40.26#6.05#39.9#0#0#3,1#3#41.00#4.39#56.0#0#0#2,1#5#34.80#4.83#43.2#0#0#2,4#45#17.77#4.64#22.9#2#1#6
Bhuvneshwar_Kumar,68#141#35.11#5.08#41.4#4#1#5,37#70#39.48#5.13#46.1#1#1#5,31#71#30.80#5.01#36.8#3#0#4,27#50#40.62#5.31#45.8#0#0#3,23#53#37.07#5.23#42.5#3#1#5,7#23#35.60#5.28#40.4#1#0#4,5#5#16.00#3.07#31.2#1#0#4,0#0#0#7.27#0#0#0#0,7#33#23.75#5.23#27.2#2#0#4
Mohammed_Shami,39#152#25.72#5.60#27.5#9#1#5,28#98#25.23#5.60#27.0#5#1#5,11#54#26.61#5.60#28.5#4#0#4,16#45#31.44#5.99#31.4#3#0#4,15#75#24.57#5.49#26.8#3#1#5,5#29#35.44#6.13#34.6#1#0#4,5#9#25.66#4.35#35.3#0#0#3,0#4#29.25#4.87#36.0#0#0#3,10#42#22.64#5.36#25.3#2#1#5
Mohammed_Siraj,10#13#31.07#4.80#38.7#0#0#3,8#5#53.20#5.01#63.6#0#0#2,2#8#17.25#4.45#23.2#0#0#3,4#5#18.60#3.57#31.2#0#0#3,6#8#38.87#5.36#43.5#0#0#2,0#0#0#7.60#0#0#0#0,4#2#26.00#3.25#48.0#0#0#1,10#13#25.23#4.43#34.1#0#0#3,0#0#0#7.60#0#0#0#0
Hardik_Pandya,8#63#38.69#5.55#41.7#1#0#4,5#36#37.97#5.35#42.5#1#0#4,3#27#39.66#5.83#40.7#0#0#3,2#21#36.90#5.74#38.5#0#0#3,4#28#36.39#5.33#40.8#1#0#4,0#7#40.00#6.22#38.5#0#0#2,0#7#22.71#4.41#30.8#0#0#3,3#6#12.33#4.35#17.0#1#0#4,2#14#39.78#5.57#42.8#0#0#3
Axar_Patel,18#53#30.26#4.40#41.2#0#0#3,12#28#31.46#4.25#44.3#0#0#3,6#25#28.92#4.59#37.8#0#0#3,5#26#30.92#4.72#39.3#0#0#3,12#26#28.03#4.12#40.7#0#0#3,0#4#37.25#4.96#45.0#0#0#3,9#14#18.42#3.27#33.7#0#0#3,5#8#24.37#4.19#34.8#0#0#3,4#14#37.35#4.88#45.9#0#0#3
Shardul_Thakur,4#36#33.94#6.51#31.2#2#0#4,2#13#32.92#6.50#30.3#1#0#4,2#23#34.52#6.52#31.7#1#0#4,1#11#36.45#6.41#34.0#1#0#4,3#25#31.20#6.44#29.0#1#0#4,1#3#31.33#6.26#30.0#0#0#3,0#4#23.25#5.81#24.0#0#0#3,2#14#28.85#6.02#28.7#0#0#3,0#7#22.57#6.72#20.1#1#0#4
Washington_Sundar,1#5#28.00#5.00#33.6#0#0#3,1#3#10.00#3.33#18.0#0#0#3,0#2#55.00#5.78#57.0#0#0#1,1#5#28.00#5.00#33.6#0#0#3,0#0#0#0#0#0#0#0,0#1#65.00#6.50#60.0#0#0#1,1#4#18.75#4.16#27.0#0#0#3,1#4#18.75#4.16#27.0#0#0#3,0#1#65.00#6.50#60.0#0#0#1
Jayant_Yadav,0#1#61.00#4.35#84.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1
Khaleel_Ahmed,2#15#31.00#5.81#32.0#0#0#3,2#8#44.12#6.41#41.2#0#0#3,0#7#16.00#4.48#21.4#0#0#3,1#7#24.42#5.34#27.4#0#0#3,0#4#50.25#7.17#42.0#0#0#3,0#0#0#6.87#0#0#0#0,0#3#16.00#4.80#20.0#0#0#3,2#11#24.00#5.07#28.3#0#0#3,0#4#50.25#7.17#42.0#0#0#3
Kedar_Jadhav,1#27#37.77#5.15#43.9#0#0#3,1#23#29.34#4.79#36.6#0#0#3,0#4#86.25#6.03#85.7#0#0#1,0#4#70.75#6.02#70.5#0#0#1,0#0#0#4.00#0#0#0#0,0#10#47.10#5.60#50.4#0#0#3,0#8#38.62#5.07#45.6#0#0#2,0#5#73.80#5.76#76.8#0#0#1,0#0#0#0#0#0#0#0
Krunal_Pandya,1#2#111.50#5.86#114.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,1#2#111.50#5.86#114.0#0#0#1,0#0#0#0#0#0#0#0#
Vijay_Shankar,0#4#52.50#5.40#58.2#0#0#2,0#0#0#5.14#0#0#0#0,0#4#25.50#5.71#26.7#0#0#2,0#2#55.00#6.28#52.5#0#0#2,0#0#0#4.87#0#0#0#0,0#2#66.50#5.65#70.5#0#0#2,0#0#0#0#0#0#0#0,0#4#52.50#5.40#58.2#0#0#2,0#0#0#0#0#0#0#0
A1,1#3#40.00#7.74#31.0#0#0#3,0#0#0#9.00#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,0#0#0#0#0#0#0#0,1#3#40.00#7.74#31.0#0#0#3,0#0#9.00#0#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,1#3#40.00#7.74#31.0#0#0#3,0#0#0#0#0#0#0#0
M1,10#13#31.07#4.80#38.7#0#0#3,8#5#53.20#5.01#63.6#0#0#2,2#8#17.25#4.45#23.2#0#0#3,4#5#18.60#3.57#31.2#0#0#3,6#8#38.87#5.36#43.5#0#0#2,0#0#0#7.60#0#0#0#0,4#2#26.00#3.25#48.0#0#0#1,10#13#25.23#4.43#34.1#0#0#3,0#0#0#7.60#0#0#0#0
K1,1#2#111.50#5.86#114.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,1#2#111.50#5.86#114.0#0#0#1,0#0#0#0#0#0#0#0#
X5,18#53#30.26#4.40#41.2#0#0#3,12#28#31.46#4.25#44.3#0#0#3,6#25#28.92#4.59#37.8#0#0#3,5#26#30.92#4.72#39.3#0#0#3,12#26#28.03#4.12#40.7#0#0#3,0#4#37.25#4.96#45.0#0#0#3,9#14#18.42#3.27#33.7#0#0#3,5#8#24.37#4.19#34.8#0#0#3,4#14#37.35#4.88#45.9#0#0#3
D1,1#3#39.66#4.76#50.0#0#0#1,0#2#24.00#4.36#33.0#0#0#1,1#1#71.00#5.07#84.0#0#0#1,0#1#24.00#6.00#24.0#0#0#1,1#2#47.50#4.52#63.0#0#0#1,1#2#52.00#4.72#66.0#0#0#1,0#1#15.00#5.00#18.0#0#0#1,1#3#39.66#4.76#50.0#0#0#1,0#0#0#0#0#0#0#0
J1,0#1#61.00#4.35#84.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1
X1,18#53#30.26#4.40#41.2#0#0#3,12#28#31.46#4.25#44.3#0#0#3,6#25#28.92#4.59#37.8#0#0#3,5#26#30.92#4.72#39.3#0#0#3,12#26#28.03#4.12#40.7#0#0#3,0#4#37.25#4.96#45.0#0#0#3,9#14#18.42#3.27#33.7#0#0#3,5#8#24.37#4.19#34.8#0#0#3,4#14#37.35#4.88#45.9#0#0#3
M2,10#13#31.07#4.80#38.7#0#0#3,8#5#53.20#5.01#63.6#0#0#2,2#8#17.25#4.45#23.2#0#0#3,4#5#18.60#3.57#31.2#0#0#3,6#8#38.87#5.36#43.5#0#0#2,0#0#0#7.60#0#0#0#0,4#2#26.00#3.25#48.0#0#0#1,10#13#25.23#4.43#34.1#0#0#3,0#0#0#7.60#0#0#0#0
A2,1#3#40.00#7.74#31.0#0#0#3,0#0#0#9.00#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,0#0#0#0#0#0#0#0,1#3#40.00#7.74#31.0#0#0#3,0#0#9.00#0#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,1#3#40.00#7.74#31.0#0#0#3,0#0#0#0#0#0#0#0
K2,1#2#111.50#5.86#114.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,1#2#111.50#5.86#114.0#0#0#1,0#0#0#0#0#0#0#0#
D5,1#3#39.66#4.76#50.0#0#0#1,0#2#24.00#4.36#33.0#0#0#1,1#1#71.00#5.07#84.0#0#0#1,0#1#24.00#6.00#24.0#0#0#1,1#2#47.50#4.52#63.0#0#0#1,1#2#52.00#4.72#66.0#0#0#1,0#1#15.00#5.00#18.0#0#0#1,1#3#39.66#4.76#50.0#0#0#1,0#0#0#0#0#0#0#0
J2,0#1#61.00#4.35#84.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1
X2,18#53#30.26#4.40#41.2#0#0#3,12#28#31.46#4.25#44.3#0#0#3,6#25#28.92#4.59#37.8#0#0#3,5#26#30.92#4.72#39.3#0#0#3,12#26#28.03#4.12#40.7#0#0#3,0#4#37.25#4.96#45.0#0#0#3,9#14#18.42#3.27#33.7#0#0#3,5#8#24.37#4.19#34.8#0#0#3,4#14#37.35#4.88#45.9#0#0#3
K3,1#2#111.50#5.86#114.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,1#2#111.50#5.86#114.0#0#0#1,0#0#0#0#0#0#0#0#
M4,10#13#31.07#4.80#38.7#0#0#3,8#5#53.20#5.01#63.6#0#0#2,2#8#17.25#4.45#23.2#0#0#3,4#5#18.60#3.57#31.2#0#0#3,6#8#38.87#5.36#43.5#0#0#2,0#0#0#7.60#0#0#0#0,4#2#26.00#3.25#48.0#0#0#1,10#13#25.23#4.43#34.1#0#0#3,0#0#0#7.60#0#0#0#0
A3,1#3#40.00#7.74#31.0#0#0#3,0#0#0#9.00#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,0#0#0#0#0#0#0#0,1#3#40.00#7.74#31.0#0#0#3,0#0#9.00#0#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,1#3#40.00#7.74#31.0#0#0#3,0#0#0#0#0#0#0#0
D4,1#3#39.66#4.76#50.0#0#0#1,0#2#24.00#4.36#33.0#0#0#1,1#1#71.00#5.07#84.0#0#0#1,0#1#24.00#6.00#24.0#0#0#1,1#2#47.50#4.52#63.0#0#0#1,1#2#52.00#4.72#66.0#0#0#1,0#1#15.00#5.00#18.0#0#0#1,1#3#39.66#4.76#50.0#0#0#1,0#0#0#0#0#0#0#0
J3,0#1#61.00#4.35#84.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1
X3,18#53#30.26#4.40#41.2#0#0#3,12#28#31.46#4.25#44.3#0#0#3,6#25#28.92#4.59#37.8#0#0#3,5#26#30.92#4.72#39.3#0#0#3,12#26#28.03#4.12#40.7#0#0#3,0#4#37.25#4.96#45.0#0#0#3,9#14#18.42#3.27#33.7#0#0#3,5#8#24.37#4.19#34.8#0#0#3,4#14#37.35#4.88#45.9#0#0#3
M3,10#13#31.07#4.80#38.7#0#0#3,8#5#53.20#5.01#63.6#0#0#2,2#8#17.25#4.45#23.2#0#0#3,4#5#18.60#3.57#31.2#0#0#3,6#8#38.87#5.36#43.5#0#0#2,0#0#0#7.60#0#0#0#0,4#2#26.00#3.25#48.0#0#0#1,10#13#25.23#4.43#34.1#0#0#3,0#0#0#7.60#0#0#0#0
A4,1#3#40.00#7.74#31.0#0#0#3,0#0#0#9.00#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,0#0#0#0#0#0#0#0,1#3#40.00#7.74#31.0#0#0#3,0#0#9.00#0#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,1#3#40.00#7.74#31.0#0#0#3,0#0#0#0#0#0#0#0
K5,1#2#111.50#5.86#114.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,1#2#111.50#5.86#114.0#0#0#1,0#0#0#0#0#0#0#0#
D3,1#3#39.66#4.76#50.0#0#0#1,0#2#24.00#4.36#33.0#0#0#1,1#1#71.00#5.07#84.0#0#0#1,0#1#24.00#6.00#24.0#0#0#1,1#2#47.50#4.52#63.0#0#0#1,1#2#52.00#4.72#66.0#0#0#1,0#1#15.00#5.00#18.0#0#0#1,1#3#39.66#4.76#50.0#0#0#1,0#0#0#0#0#0#0#0
J4,0#1#61.00#4.35#84.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1
X4,18#53#30.26#4.40#41.2#0#0#3,12#28#31.46#4.25#44.3#0#0#3,6#25#28.92#4.59#37.8#0#0#3,5#26#30.92#4.72#39.3#0#0#3,12#26#28.03#4.12#40.7#0#0#3,0#4#37.25#4.96#45.0#0#0#3,9#14#18.42#3.27#33.7#0#0#3,5#8#24.37#4.19#34.8#0#0#3,4#14#37.35#4.88#45.9#0#0#3
A5,1#3#40.00#7.74#31.0#0#0#3,0#0#0#9.00#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,0#0#0#0#0#0#0#0,1#3#40.00#7.74#31.0#0#0#3,0#0#9.00#0#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,1#3#40.00#7.74#31.0#0#0#3,0#0#0#0#0#0#0#0
M5,10#13#31.07#4.80#38.7#0#0#3,8#5#53.20#5.01#63.6#0#0#2,2#8#17.25#4.45#23.2#0#0#3,4#5#18.60#3.57#31.2#0#0#3,6#8#38.87#5.36#43.5#0#0#2,0#0#0#7.60#0#0#0#0,4#2#26.00#3.25#48.0#0#0#1,10#13#25.23#4.43#34.1#0#0#3,0#0#0#7.60#0#0#0#0
K4,1#2#111.50#5.86#114.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,1#2#111.50#5.86#114.0#0#0#1,0#0#0#0#0#0#0#0#
D2,1#3#39.66#4.76#50.0#0#0#1,0#2#24.00#4.36#33.0#0#0#1,1#1#71.00#5.07#84.0#0#0#1,0#1#24.00#6.00#24.0#0#0#1,1#2#47.50#4.52#63.0#0#0#1,1#2#52.00#4.72#66.0#0#0#1,0#1#15.00#5.00#18.0#0#0#1,1#3#39.66#4.76#50.0#0#0#1,0#0#0#0#0#0#0#0